CNAE,TOTAL
"8650003","1"
"8650004","3"
"8650005","1"
"8650006","1"
"8690901","1"
"8712300","46092"
"8720499","1"
"9001901","2871"
"9001902","9051"
"9001906","4429"
"9001999","2"
"9002701","1"
"9002702","488"
"9313100","5"
"9329803","33"
"9329804","85"
"9329899","2437"
"9511800","14936"
"9512600","6266"
"9521500","3552"
"9529101","360"
"9529102","2370"
"9529103","365"
"9529104","737"
"9529105","2055"
"9529106","786"
"9529199","1077"
"9601701","1181"
"9601702","39"
"9601703","210"
"9602501","126497"
"9602502","38234"
"9603304","327"
"9603305","1"
"9609202","361"
"9609206","4310"
"9609207","1199"
"9609208","6347"
"9609299","3765"
"9700500","31634"
